0,1,2
2022-02-07 09:50:00,50.65,buy
2022-02-08 10:40:00,52.441,buy
2022-02-11 10:55:00,58.348,buy
2022-02-14 13:35:00,56.156,buy
2022-02-23 14:50:00,54.997,buy
2022-03-01 13:35:00,57.305,sell
2022-03-03 13:50:00,56.261,buy
2022-03-07 14:25:00,54.959,buy
2022-03-08 14:45:00,52.24,buy
2022-03-11 09:55:00,52.086,buy
2022-03-14 14:30:00,50.679,buy
2022-03-15 14:05:00,47.653,buy
2022-03-17 11:05:00,51.273,sell
2022-03-18 10:15:00,51.617,sell
2022-04-06 14:05:00,53.772,buy
2022-04-07 13:55:00,51.876,buy
2022-04-15 10:00:00,50.267,buy
2022-04-21 11:00:00,54.403,buy
2022-04-21 14:15:00,53.503,buy
2022-04-26 14:45:00,48.975,buy
2022-04-29 10:55:00,50.334,buy
2022-05-06 13:15:00,49.243,buy
2022-05-18 10:20:00,48.065,buy
2022-05-19 14:05:00,45.892,buy
2022-05-25 09:45:00,46.859,buy
2022-05-27 14:05:00,47.261,buy
2022-06-01 14:00:00,47.845,buy
2022-06-14 09:55:00,52.26,sell
2022-06-24 10:50:00,54.309,buy
2022-06-28 11:00:00,55.772,buy
2022-06-30 13:10:00,53.472,sell
2022-07-01 10:30:00,54.502,sell
2022-07-04 09:50:00,56.474,sell
2022-07-05 09:40:00,59.852,sell
2022-07-12 13:15:00,61.459,buy
2022-07-13 10:30:00,60.602,buy
2022-07-21 11:00:00,58.293,sell
2022-07-22 09:50:00,57.042,buy
2022-07-22 11:15:00,56.936,buy
2022-07-22 13:15:00,56.628,buy
2022-08-09 10:15:00,54.203,buy
2022-08-10 11:05:00,53.26,buy
2022-08-12 14:10:00,53.559,buy
2022-08-24 11:05:00,56.984,buy
2022-08-25 14:30:00,57.09,buy
2022-08-29 13:45:00,56.282,buy
2022-08-31 14:55:00,56.157,buy
2022-09-05 10:35:00,56.926,buy
2022-09-15 10:40:00,57.696,buy
2022-09-15 14:00:00,57.177,buy
2022-09-16 14:30:00,56.849,buy
2022-09-20 13:55:00,56.522,buy
2022-09-26 13:45:00,52.49,buy
2022-09-29 14:30:00,52.327,buy
2022-10-20 09:45:00,54.675,buy
2022-10-21 10:15:00,53.655,buy
2022-10-24 10:35:00,52.952,buy
2022-10-24 14:10:00,52.183,buy
2022-10-26 10:40:00,51.875,buy
2022-10-28 10:10:00,46.207,buy
2022-10-28 14:45:00,45.716,buy
2022-11-03 13:15:00,45.293,buy
2022-11-04 11:30:00,46.688,sell
2022-11-08 10:40:00,47.525,buy
2022-11-10 13:15:00,45.87,buy
2022-11-17 10:00:00,46.197,buy
2022-11-18 10:25:00,46.092,buy
2022-11-23 10:20:00,44.273,buy
2022-12-08 13:40:00,46.861,buy
2022-12-15 13:40:00,46.919,buy
2022-12-16 09:40:00,46.39,buy
2022-12-20 13:55:00,44.552,buy
2022-12-22 10:35:00,46.621,sell
2023-02-02 10:15:00,48.334,buy
2023-02-13 10:35:00,47.227,buy
2023-02-16 14:35:00,46.236,buy
2023-02-20 10:15:00,46.188,buy
2023-02-21 10:35:00,47.679,sell
2023-02-22 09:55:00,47.901,sell
2023-02-27 10:40:00,47.679,buy
2023-02-27 13:45:00,47.458,buy
2023-02-27 15:00:00,47.448,buy
2023-03-02 10:35:00,48.064,buy
2023-03-03 10:05:00,47.766,buy
2023-03-06 09:50:00,47.535,buy
2023-03-07 14:10:00,46.804,buy
2023-03-09 11:15:00,45.938,buy
2023-03-13 09:40:00,45.254,buy
2023-03-13 11:10:00,45.62,sell
2023-03-17 09:45:00,46.496,buy
2023-03-23 10:50:00,45.533,buy
2023-04-03 10:20:00,47.833,sell
2023-04-06 11:05:00,48.093,buy
2023-04-07 10:25:00,48.074,buy
2023-04-10 11:25:00,47.304,buy
2023-04-13 14:50:00,46.582,buy
2023-04-14 13:55:00,46.284,buy
